hunger,food,action
0.054849,0.996620,pass
0.170089,0.795212,eat
0.767761,0.754398,eat
0.360207,0.571926,pass
0.017384,0.630184,pass
0.409814,0.845862,pass
0.161389,0.519336,pass
0.165772,0.284537,pass
0.678639,0.701287,eat
0.909741,0.353510,eat
0.339402,0.472033,pass
0.725222,0.328894,pass
0.734389,0.572286,eat
0.840212,0.838751,pass
0.708029,0.815573,eat
0.676850,0.818046,eat
0.776745,0.408223,pass
0.496666,0.669009,pass
0.110884,0.741038,eat
0.551818,0.219904,pass
0.650136,0.006066,pass
0.278533,0.202467,pass
0.810422,0.825923,eat
0.902794,0.114708,pass
0.342399,0.599446,pass
0.908519,0.516961,eat
0.576310,0.945856,eat
0.193679,0.126628,pass
0.008519,0.090711,pass
0.850590,0.751610,eat
0.198954,0.272046,pass
0.816985,0.988012,eat
0.883168,0.578039,eat
0.067806,0.944428,pass
0.269206,0.170950,pass
0.075851,0.166171,pass
0.252330,0.176883,pass
0.587419,0.322801,pass
0.480014,0.762215,pass
0.292531,0.202621,pass
0.912529,0.298010,eat
0.951026,0.158959,pass
0.287673,0.853078,pass
0.927523,0.598015,eat
0.334440,0.156782,pass
0.243667,0.267665,pass
0.418591,0.629893,pass
0.395449,0.435968,pass
0.575177,0.556201,pass
0.061512,0.139149,pass
0.294273,0.870094,eat
0.909762,0.289072,pass
0.600936,0.696949,eat
0.167679,0.746040,pass
0.643381,0.161571,eat
0.695912,0.848696,eat
0.105287,0.845225,pass
0.000277,0.286776,pass
0.023003,0.543203,pass
0.361574,0.187192,pass
0.331881,0.453438,pass
0.127702,0.642220,pass
0.664735,0.605797,pass
0.771794,0.086480,pass
0.190623,0.024786,pass
0.889764,0.356764,eat
0.458185,0.611271,pass
0.709753,0.144809,eat
0.064600,0.140465,pass
0.349029,0.237151,pass
0.416273,0.333527,pass
0.500077,0.199574,pass
0.114733,0.901031,pass
0.454420,0.086384,pass
0.992256,0.555108,pass
0.977573,0.204446,eat
0.534816,0.323164,pass
0.999932,0.612006,eat
0.944319,0.845230,eat
0.521294,0.529286,pass
0.469296,0.383253,pass
0.941191,0.058130,eat
0.149084,0.141765,pass
0.894917,0.159682,eat
0.489719,0.200610,pass
0.741304,0.348687,eat
0.012995,0.284087,pass
0.930945,0.550184,eat
0.375372,0.446781,pass
0.686712,0.116144,pass
0.556009,0.414165,eat
0.766967,0.331037,eat
0.394626,0.056643,pass
0.692664,0.018460,pass
0.923948,0.877068,eat
0.814900,0.727635,eat
0.666032,0.795320,eat
0.638161,0.529154,eat
0.076354,0.970476,pass
0.447547,0.231115,pass
0.528711,0.165816,eat
0.290608,0.555081,pass
0.241503,0.919930,pass
0.364750,0.880370,pass
0.493369,0.112755,pass
0.767768,0.309191,eat
0.191806,0.102949,pass
0.043354,0.571492,pass
0.710261,0.699424,eat
0.458966,0.025938,pass
0.055558,0.002607,pass
0.017033,0.399735,pass
0.508696,0.940702,pass
0.074809,0.523545,pass
0.235986,0.800109,pass
0.411204,0.659010,pass
0.013285,0.204771,pass
0.574599,0.167124,pass
0.283195,0.535629,pass
0.463571,0.143489,pass
0.491709,0.899403,eat
0.792463,0.578335,eat
0.871636,0.734286,eat
0.342801,0.181625,pass
0.940013,0.399757,eat
0.828305,0.344913,eat
0.182999,0.151964,pass
0.186124,0.171654,pass
0.468488,0.147533,pass
0.201468,0.471625,eat
0.288376,0.524552,pass
0.830842,0.110693,eat
0.376838,0.413061,pass
0.472977,0.050003,pass
0.837405,0.419450,eat
0.441323,0.010991,pass
0.496439,0.708900,eat
0.357602,0.108813,pass
0.370367,0.832183,eat
0.225359,0.245598,pass
